Disk radius 0.128 m, TANGENTIAL_SIGN +1, rotations valid (det=+1)
  Sensor1 (CS 8): DEVID=0xE5 OK
  Sensor2 (CS 7): DEVID=0xE5 OK
  Sensor3 (CS 5): DEVID=0xE5 OK
  Sensor4 (CS 6): DEVID=0xE5 OK
  calibration: loaded from disk_calib.json
  orientation: measured per board

  t(s)     alpha_x   alpha_y   alpha_z   |wz|    resid
    2.42    -2.081    +1.175    -5.376   0.942   0.057
    2.45    -1.037    -0.362    -6.011   1.073   0.051
    2.47    +0.985    -1.874    -4.318   1.229   0.082
    2.49    +1.372    -0.552    +2.130   1.369   0.058
    2.52    -0.181    -0.006    +9.413   1.233   0.042
    2.54    -2.804    +1.970    +1.703   0.948   0.052
    2.56    -3.301    +0.330    -6.220   1.034   0.094
    2.59    +0.181    -1.878    -6.231   1.242   0.034
    2.61    +0.892    -2.351    -2.380   1.203   0.039
    2.64    +1.745    +0.010    +7.023   1.380   0.095
    2.66    -2.813    +0.883    +5.369   0.961   0.081
    2.68    -1.613    +2.886    +3.785   0.778   0.054
    2.71    -4.188    -1.517    -7.457   0.711   0.094
    2.73    +2.626    +0.291    -5.229   1.098   0.046
    2.75    +1.354    -2.771    -3.485   1.200   0.089
    2.78    +1.401    +2.554    +7.808   1.287   0.057
    2.80    -3.006    -0.142    +5.376   1.063   0.075
    2.83    -2.395    -0.353    +0.344   0.825   0.130
    2.85    -2.235    -0.249    -7.600   0.663   0.080
    2.87    +3.145    -2.211    -3.514   1.105   0.059
    2.90    +1.149    -1.255    -2.551   1.289   0.045
    2.92    +0.530    +2.746    +2.859   1.302   0.106
    2.95    -3.011    +0.592    +9.920   1.056   0.054
    2.97    -2.623    -0.189    +2.912   0.574   0.053
    2.99    -1.579    -1.455    -4.987   0.693   0.135
    3.02    +3.252    -1.717    -7.065   1.017   0.092
    3.04    +0.116    +0.481    -2.024   1.192   0.028
    3.06    +2.352    +0.376    -0.574   1.244   0.075
    3.09    -4.897    +0.491    +8.463   1.001   0.107
    3.11    -0.851    +0.039    +2.054   0.605   0.045
    3.14    -3.450    -2.516    +1.711   0.547   0.043
    3.16    +0.329    +1.166    -5.757   0.766   0.114
    3.18    +0.320    +0.952    -5.118   0.933   0.040
    3.21    +2.748    +1.056    -4.537   1.241   0.035
    3.23    -2.228    +0.239    +6.796   1.033   0.094
    3.25    -0.582    -0.699    +4.780   0.972   0.029
    3.28    -3.350    -1.546    +0.812   0.529   0.048
    3.30    +0.774    +0.842    -5.727   0.818   0.074
    3.33    +0.901    +0.053    -6.690   1.046   0.040
    3.35    +1.258    +1.943    -3.333   1.218   0.048
    3.38    -0.318    -0.967    +4.853   1.227   0.052
    3.40    -3.411    -1.390    +9.817   0.928   0.092
    3.43    -1.316    -0.613    +0.498   0.841   0.070
    3.45    -3.588    +0.587    -7.786   0.751   0.103
    3.47    +3.010    +0.213    -5.904   1.196   0.086
    3.49    +0.301    -0.199    -4.882   1.179   0.089
    3.52    +3.600    +0.553    +4.906   1.338   0.110
    3.54    -3.441    -1.176    +4.534   1.074   0.058
    3.56    -0.748    +0.074    +3.572   1.056   0.039
    3.58    -4.375    +0.200    -6.964   0.957   0.071
    3.60    -0.010    -0.208    -5.792   1.144   0.026
    3.63    +0.640    +0.381    -3.420   1.362   0.066
    3.65    +3.123    -1.210    +5.085   1.394   0.054
    3.67    -0.686    -0.224    +8.462   1.154   0.039
    3.69    -0.789    +0.060    +1.985   0.943   0.066
    3.71    -4.061    -0.554    -6.641   0.844   0.066
    3.74    -0.434    -0.030    -7.027   1.224   0.053
    3.76    -1.047    -0.801    -3.209   1.372   0.012
    3.78    +2.681    -0.818    +4.664   1.358   0.121
    3.80    -1.546    +0.161    +7.315   1.093   0.039
    3.82    +1.178    +0.954    +2.046   1.021   0.031
    3.85    -4.880    +1.281    -6.328   0.898   0.053
    3.87    -0.135    -0.616    -5.379   1.119   0.061
    3.89    -2.152    -1.706    -2.306   1.206   0.053
    3.91    +1.768    -1.072    +5.592   1.337   0.035
    3.93    -0.833    +0.678    +6.688   1.133   0.046
    3.96    -0.118    +1.288    +4.469   0.930   0.098
    3.98    -3.028    +1.614    -8.036   0.803   0.035
    4.00    +0.097    -0.499    -6.458   1.079   0.061
    4.02    -1.946    -1.727    -2.088   1.172   0.047
    4.04    +1.493    -1.417    +0.272   1.252   0.055
    4.06    +0.200    -0.265    +8.679   1.129   0.026
    4.09    -0.705    +1.280    +3.660   0.876   0.089
    4.11    -1.446    +1.233    -2.949   0.785   0.075
    4.13    -1.760    -0.716    -6.402   0.993   0.042
    4.15    +0.151    -2.588    -2.622   1.156   0.053
    4.17    +0.593    -1.045    -1.021   1.226   0.039
    4.20    +0.782    -0.017    +7.751   1.141   0.060
    4.22    -2.555    +1.426    +6.049   1.064   0.088
    4.24    +0.474    +1.026    +1.613   0.884   0.026
    4.26    -2.819    +0.136    -5.409   0.638   0.015
    4.28    +1.152    -1.751    -6.427   0.992   0.034
    4.31    -0.962    -1.502    -4.314   1.146   0.032
    4.33    +0.786    -0.035    -0.315   1.166   0.029
    4.35    -1.260    +1.430    +6.140   1.091   0.072
    4.37    -1.605    +1.083    +5.900   0.972   0.047
    4.39    -0.941    +0.018    -0.760   0.701   0.037
    4.41    -2.010    -0.896    -5.667   0.683   0.041
    4.44    +0.881    -1.509    -5.758   0.998   0.040
    4.46    -0.048    -0.559    -2.804   1.117   0.021
    4.48    +0.906    +0.664    +0.595   1.085   0.009
    4.50    -0.565    +1.200    +7.515   1.112   0.051
    4.52    -2.310    +0.676    +4.210   0.782   0.079
    4.55    -0.412    -0.297    -1.783   0.627   0.072
    4.57    -2.440    -0.939    -8.935   0.796   0.073
    4.59    +1.085    -1.455    -3.644   1.127   0.071
    4.61    -0.951    +0.534    -3.049   1.089   0.024
    4.63    +1.918    +1.280    +5.714   1.236   0.059
    4.66    -3.237    -0.028    +6.719   1.004   0.066
    4.68    -0.060    +1.051    +2.856   0.756   0.047
    4.70    -2.096    -0.960    -4.588   0.836   0.076
    4.72    -1.149    -0.729    -6.607   0.977   0.048
    4.74    +0.561    -1.107    -4.877   1.151   0.032
    4.76    +0.189    -0.294    +0.044   1.272   0.087
    4.79    +0.123    +1.353    +7.250   1.164   0.049
    4.81    -2.149    +1.143    +3.362   0.935   0.049
    4.83    -1.330    -0.081    -6.948   0.980   0.064
    4.85    -2.345    -0.773    -7.274   1.160   0.040
    4.87    -0.236    -2.073    -4.781   1.305   0.031
    4.90    +0.648    -1.001    +2.698   1.337   0.036
    4.92    +0.549    -0.205    +9.206   1.242   0.047
    4.94    -1.566    +2.020    +1.285   1.170   0.089
    4.96    -1.519    +2.011    -7.280   0.969   0.033
    4.98    -1.309    -0.399    -6.819   1.247   0.047
    5.01    +0.253    -1.757    -2.944   1.376   0.037
    5.03    +0.929    -2.755    +3.545   1.428   0.093
    5.05    -0.134    -1.160    +8.948   1.122   0.089
    5.07    -1.193    +2.670    -0.913   1.106   0.060
    5.09    -1.981    +1.927    -9.986   1.186   0.045
    5.11    -1.424    +0.987    -2.169   1.384   0.089
    5.14    +0.494    -3.093    +2.145   1.518   0.059
    5.16    +1.293    -2.225    +9.049   1.311   0.046
    5.18    -0.512    -1.721    +2.667   1.084   0.052
    5.20    -0.911    +2.500    -3.682   1.143   0.094
    5.22    -2.021    +1.990    -6.417   1.239   0.067
    5.25    -1.828    +1.305    -3.238   1.177   0.064
    5.27    +0.432    -2.252    +6.417   1.365   0.099
    5.29    +0.114    -1.938    +7.167   1.199   0.067
    5.31    +0.715    -0.975    -1.132   0.972   0.123
    5.33    -1.789    +2.266    -6.032   1.086   0.037
    5.36    -2.325    +1.821    -1.485   1.208   0.023
    5.38    -1.067    -0.040    +0.044   1.221   0.038
    5.40    -0.406    -0.568    +4.613   1.128   0.061
    5.42    +0.523    -3.221    +8.998   1.129   0.033
    5.44    -0.341    -0.322    +2.877   0.935   0.033
    5.46    -0.342    +0.409    -4.433   0.870   0.030
    5.49    -0.957    +2.188    -7.641   1.037   0.085
    5.51    -2.355    +0.299    -0.231   1.069   0.028
    5.53    +0.399    -1.292    +1.673   1.160   0.048
    5.55    +1.076    -1.667   +10.310   1.080   0.039
    5.57    -0.783    -1.198    +2.765   0.770   0.039
    5.60    -0.100    +2.055    +1.754   0.738   0.029
    5.62    -2.777    -0.220    -3.896   0.784   0.055
    5.64    -0.106    +1.213    -3.665   1.005   0.050
    5.66    -1.682    -0.912    -3.692   0.950   0.063
    5.68    +1.543    -0.551    -1.336   1.045   0.107
    5.71    -0.960    -1.022   +10.192   1.004   0.044
    5.73    +0.362    -0.985    +3.431   0.928   0.049
    5.75    -1.957    +1.288    +2.068   0.701   0.055
    5.77    -2.319    -0.060    -5.696   0.685   0.077
    5.79    +0.253    +0.391    -4.866   0.779   0.060
    5.81    -0.639    -1.817    -3.067   0.677   0.057
    5.84    +2.151    +0.091    -2.892   1.064   0.048
    5.86    -0.810    +0.544    +1.827   1.066   0.052
    5.88    -0.167    +0.798    +6.927   0.902   0.059
    5.90    -3.072    -0.649    +7.354   0.718   0.074
    5.92    -0.843    +0.399    +0.515   0.391   0.089
    5.95    -1.644    -1.264    -4.800   0.538   0.026
    5.97    +0.845    -0.262    -8.796   0.695   0.057
    5.99    +0.860    +0.137    -3.613   0.879   0.050
    6.01    +0.932    +1.267    -1.976   1.075   0.039
    6.03    +0.168    +0.867    +3.510   1.166   0.046
    6.05    -3.193    -0.691    +6.917   0.903   0.078
    6.08    -0.207    -0.389    +0.392   0.749   0.040
    6.10    -2.773    -1.075    -0.440   0.692   0.068
    6.12    +0.176    -0.019    -7.784   0.776   0.044
    6.14    +0.353    +0.413    -2.960   0.981   0.040
    6.16    +0.765    +1.108    -6.262   1.104   0.062
    6.19    +0.210    +0.069    +5.362   1.220   0.113
    6.21    -2.408    -1.428    +6.590   0.852   0.105
    6.23    -1.193    -0.867    +3.707   0.876   0.058
    6.25    -3.910    -0.419    -2.833   0.656   0.088
    6.27    +1.349    +0.483    -6.591   0.816   0.060
    6.30    -0.626    +0.346    -4.852   1.000   0.036
    6.32    +2.762    +0.852    -3.942   1.199   0.050
    6.34    +0.066    +0.410    +0.300   1.297   0.047
    6.36    -1.118    -0.751    +6.327   1.074   0.047
    6.38    -2.957    -0.162    +1.325   0.866   0.074
    6.40    -2.169    +0.146    -3.596   1.074   0.062
    6.43    -1.225    +0.539    -8.654   1.032   0.040
    6.45    +1.491    -0.738    -1.709   1.314   0.059
    6.47    +2.219    -0.271    +1.231   1.401   0.079
    6.49    -0.110    -0.880    +7.493   1.207   0.052
    6.51    -0.995    +0.406    +1.804   1.232   0.057
    6.54    -3.277    -0.403    -2.470   0.997   0.072
    6.56    -1.185    +0.231    -7.152   1.082   0.031
    6.58    -0.360    -1.188    -4.867   1.275   0.048
    6.61    +2.010    -0.497    +3.541   1.387   0.082
    6.63    +0.758    +0.165    +4.431   1.359   0.057
    6.66    -1.713    +0.676    -4.077   1.142   0.049
    6.68    -2.481    +0.062    -3.896   1.167   0.033
    6.70    -0.932    -1.148    -2.423   1.281   0.019
    6.73    -0.410    -0.579    -1.730   1.411   0.037
    6.75    +1.320    -0.321    +7.676   1.413   0.084
    6.77    -1.377    +0.430    +1.805   1.230   0.082
    6.79    -0.609    +0.483    -5.624   1.161   0.073
    6.81    -0.964    -0.205    -3.911   1.382   0.028
    6.84    -0.767    -1.323    -3.521   1.340   0.038
    6.86    +0.814    -1.611    +5.779   1.424   0.038
    6.88    -1.575    -0.048    +3.678   1.187   0.064
    6.90    +0.648    +0.636    +2.608   1.285   0.082
    6.92    -2.998    +1.989    -5.976   1.080   0.040
    6.95    +0.310    -1.089    -4.221   1.249   0.021
    6.97    -0.508    +0.074    +0.781   1.354   0.126
    6.99    -0.798    -2.435    +5.743   1.268   0.060
    7.01    -1.290    +0.863    +3.501   1.077   0.084
    7.03    -1.566    +2.318    -2.842   1.144   0.033
    7.06    -1.679    +0.154    -5.846   1.172   0.060
    7.08    +0.324    -0.686    -2.745   1.279   0.044
    7.10    -0.235    -2.228    -1.002   1.312   0.055
    7.12    +1.259    -0.486    +8.971   1.309   0.041
    7.14    -2.570    -0.310    +4.089   1.034   0.105
    7.16    -1.049    +1.828    -1.188   1.060   0.109
    7.19    -1.681    +0.785    -7.706   1.017   0.064
    7.21    +1.897    -1.488    -3.855   1.220   0.023
    7.23    +0.507    -1.107    +0.877   1.330   0.077
    7.25    +0.981    -0.789    +8.801   1.331   0.051
    7.27    -2.753    +1.266    +4.155   1.054   0.031
    7.30    -1.418    +1.295    +0.368   1.042   0.099
    7.32    -0.335    +0.122    -6.059   1.050   0.036
    7.34    +0.392    -1.681    -6.203   1.144   0.038
    7.36    +1.816    -2.339    +2.996   1.404   0.095
    7.38    +0.045    -0.103    +7.308   1.282   0.042
    7.41    -2.023    +0.973    +5.953   1.142   0.045
    7.43    -2.168    +2.033    -1.119   0.974   0.080
    7.45    -1.728    -0.538    -5.806   0.880   0.055
    7.47    +0.685    -1.553    -5.536   1.149   0.089
    7.49    +1.609    -1.505    -2.190   1.245   0.042
    7.52    +1.216    +0.215    +7.757   1.327   0.064
    7.54    -3.706    +0.766    +7.398   1.035   0.087
    7.56    -0.987    +1.350    +0.231   0.975   0.060
    7.58    -3.816    +0.150    -6.808   0.972   0.083
    7.60    +0.792    -1.563    -3.577   1.161   0.103
    7.62    +0.702    -2.451    -1.947   1.269   0.049
    7.65    +1.798    +0.109    +6.320   1.294   0.095
    7.67    -2.326    +1.138    +5.321   1.016   0.104
    7.69    -1.934    +2.630    +2.892   0.991   0.064
    7.71    -3.044    -0.598    -5.526   0.695   0.114
    7.73    +1.155    -1.369    -6.192   0.969   0.075
    7.76    +1.063    -2.357    -5.501   1.222   0.039
    7.78    +1.725    +0.888    +4.606   1.423   0.069
    7.80    -1.079    +0.986    +7.779   1.143   0.033
