Disk radius 0.128 m, TANGENTIAL_SIGN +1, rotations valid (det=+1)
  Sensor1 (CS 8): DEVID=0xE5 OK
  Sensor2 (CS 7): DEVID=0xE5 OK
  Sensor3 (CS 5): DEVID=0xE5 OK
  Sensor4 (CS 6): DEVID=0xE5 OK
  calibration: loaded from disk_calib.json
  orientation: measured per board

  t(s)     alpha_x   alpha_y   alpha_z   |wz|    resid
   10.57    +0.248    -1.623    +9.653   1.111   0.019
   10.59    +0.079    -0.002    +1.075   0.884   0.036
   10.61    -1.648    +0.426    +0.286   0.902   0.060
   10.63    -2.156    +1.869    -5.457   0.824   0.047
   10.66    -0.538    -0.381    -1.413   0.909   0.034
   10.68    -0.982    -0.836    -5.651   1.007   0.033
   10.70    +1.486    -1.057    +3.222   1.052   0.062
   10.72    -1.248    -1.599    +9.224   0.830   0.076
   10.74    -0.476    +1.870    +2.392   0.916   0.046
   10.77    -2.819    +0.612    -1.156   0.723   0.087
   10.79    -0.322    +0.315    -8.147   0.671   0.027
   10.81    -0.925    -0.188    -2.123   0.810   0.033
   10.83    +0.823    -1.706    -4.875   0.989   0.033
   10.85    +0.922    +0.428    -0.409   1.062   0.042
   10.88    +0.061    +1.113    +5.131   1.109   0.064
   10.90    -1.426    +0.275    +7.836   0.966   0.046
   10.92    -2.274    -0.339    +3.071   0.717   0.061
   10.94    -1.697    -0.512    -3.381   0.565   0.061
   10.96    -0.647    -1.206    -7.324   0.656   0.046
   10.98    +1.288    -0.353    -5.464   0.873   0.059
   11.01    +0.210    -0.030    -1.378   1.007   0.028
   11.03    +1.108    +1.024    +0.120   1.165   0.069
   11.05    -2.011    +0.010    +7.465   0.972   0.069
   11.07    -1.984    -0.458    +1.686   0.772   0.058
   11.09    -1.955    -1.124    +1.517   0.604   0.066
   11.12    -0.288    -1.067    -7.534   0.720   0.105
   11.14    +0.935    +0.580    -4.047   0.946   0.068
   11.16    +0.092    +1.115    -6.268   1.108   0.043
   11.18    +1.869    +0.742    +3.019   1.254   0.071
   11.20    -3.279    -0.711    +9.098   0.998   0.042
   11.23    +0.790    -1.493    +3.754   0.890   0.039
   11.25    -4.992    -0.933    +1.362   0.516   0.045
   11.27    -1.712    -0.612    -7.832   0.682   0.039
   11.29    -0.611    +0.947    -5.335   1.076   0.059
   11.31    +2.328    +0.715    -4.090   1.200   0.041
   11.33    +0.719    +0.707    +0.538   1.251   0.026
   11.36    -0.491    -1.081    +6.248   1.153   0.051
   11.38    -3.421    -0.335    +3.345   1.029   0.040
   11.40    -1.581    -0.071    -2.808   0.976   0.039
   11.42    -2.677    +0.430    -8.887   1.133   0.038
   11.44    +1.303    +0.341    -2.100   1.296   0.029
   11.47    +1.874    +0.241    -0.715   1.365   0.074
   11.49    +1.253    -0.841    +7.087   1.296   0.066
   11.51    -0.701    +0.324    +1.074   1.136   0.043
   11.53    -2.803    -0.618    -1.753   1.038   0.076
   11.55    -2.752    +0.191    -8.468   1.165   0.059
   11.58    +0.192    -0.685    -5.218   1.264   0.037
   11.60    +0.343    -0.218    +2.965   1.378   0.103
   11.62    +1.079    -0.288    +5.202   1.395   0.036
   11.64    -0.321    +0.887    +1.981   1.178   0.079
   11.66    -1.859    +0.385    -5.327   1.174   0.057
   11.68    -1.596    +0.408    -4.028   1.322   0.029
   11.71    -1.365    -1.520    -1.636   1.294   0.028
   11.73    +0.440    -0.191    +1.490   1.395   0.077
   11.75    +0.157    -0.427    +8.092   1.282   0.045
   11.77    -0.307    +1.603    -0.386   1.193   0.051
   11.79    -1.026    +0.441    -6.708   1.194   0.050
   11.82    -0.929    -0.086    -2.657   1.312   0.040
   11.84    -0.753    -1.121    -1.332   1.425   0.052
   11.86    -0.421    -1.154    +7.038   1.342   0.051
   11.88    +0.353    +1.447    +2.659   1.313   0.061
   11.90    -1.863    +0.728    -0.812   1.130   0.054
   11.93    -0.303    +1.402    -4.972   1.199   0.045
   11.95    -0.553    -0.997    -5.381   1.192   0.026
   11.97    -0.051    -1.463    +2.732   1.445   0.073
   11.99    -0.952    -0.615    +4.599   1.104   0.058
   12.01    -1.167    +0.574    +1.956   1.134   0.088
   12.03    -1.270    +1.950    -4.232   1.148   0.034
   12.06    -1.544    +0.112    -5.925   1.282   0.042
   12.08    -0.227    -0.828    -2.682   1.235   0.020
   12.10    +1.307    -1.996    +2.427   1.446   0.099
   12.12    -0.261    -0.799   +11.332   1.284   0.033
   12.14    -2.782    +1.375    +3.138   1.152   0.054
   12.17    -2.700    +0.889    -4.944   0.995   0.096
   12.19    -0.460    +0.620    -4.661   1.236   0.077
   12.21    +0.949    -1.576    -4.378   1.318   0.049
   12.23    +0.935    -1.809    +4.843   1.278   0.086
   12.25    -1.022    +0.122    +4.908   1.180   0.055
   12.28    -1.710    +0.917    +4.572   1.066   0.056
   12.30    -3.099    +1.561    -5.359   1.027   0.084
   12.32    -0.448    -0.569    -5.574   0.991   0.047
   12.34    +0.246    -1.508    -3.153   1.295   0.063
   12.36    +2.068    -1.774    +7.317   1.378   0.043
   12.38    -0.563    -0.045    +7.014   1.150   0.060
   12.41    -1.600    +1.674    +4.323   0.999   0.078
   12.43    -2.686    +1.517    -4.844   0.863   0.043
   12.45    -1.019    -0.697    -5.802   0.938   0.047
   12.47    +1.143    -1.950    -3.883   1.170   0.052
   12.49    +1.078    -0.417    +0.553   1.317   0.075
   12.52    -0.168    +0.002    +9.420   1.215   0.033
   12.54    -3.694    +1.641    +4.534   0.884   0.097
   12.56    -0.927    +1.628    -1.422   0.783   0.057
   12.58    -4.089    -0.514    -9.233   0.958   0.052
   12.60    +2.471    -1.077    -2.606   1.236   0.068
   12.63    -0.039    -2.527    -2.391   1.286   0.059
   12.65    +1.349    +1.700    +8.052   1.380   0.105
   12.67    -3.414    +0.590    +5.267   1.115   0.039
   12.69    -1.177    +1.890    +3.736   0.939   0.064
   12.71    -4.265    -1.716    -4.850   0.758   0.107
   12.73    +2.499    -0.938    -6.305   1.033   0.068
   12.76    +1.084    -1.384    -6.102   1.227   0.048
   12.78    +1.969    +1.760    +2.772   1.329   0.092
   12.80    -0.659    +1.727    +7.890   1.184   0.040
   12.82    -3.755    +0.915    +6.012   0.850   0.047
   12.84    -2.257    -0.154    +0.229   0.667   0.110
   12.87    +0.369    -1.857    -7.166   0.782   0.089
   12.89    +2.518    -1.496    -4.144   1.185   0.050
   12.91    +0.856    -0.860    -3.256   1.226   0.066
   12.93    +0.469    +2.507    +0.451   1.257   0.047
   12.95    -2.510    +0.894    +7.478   1.081   0.058
   12.97    -2.715    -1.521    +9.530   0.959   0.077
   13.00    -1.650    -1.062    -0.395   0.677   0.057
   13.02    -1.926    -1.863    -5.935   0.521   0.079
   13.04    +3.079    +0.386    -5.285   1.100   0.059
   13.06    -0.655    +1.427    -2.412   1.155   0.048
   13.08    +2.318    +1.039    -0.266   1.296   0.070
   13.11    -3.372    +1.060    +9.230   1.119   0.053
   13.13    -1.898    -3.248    +2.769   0.835   0.055
   13.15    -2.498    -0.820    +3.169   0.490   0.130
   13.17    -2.745    -1.681    -5.719   0.744   0.092
   13.19    +2.891    +1.624    -4.647   1.089   0.050
   13.22    +1.590    -0.639    -6.510   1.230   0.060
   13.24    +1.691    +2.317    +5.904   1.194   0.066
   13.26    -3.337    -3.098    +5.392   0.888   0.059
   13.29    -3.270    +0.610    +2.879   0.664   0.060
   13.32    -3.224    -1.029    -6.864   0.784   0.090
   13.34    +1.829    +1.665    -6.256   1.085   0.062
   13.36    +0.868    -0.584    -3.532   1.248   0.037
   13.38    +1.768    +0.627    -0.352   1.283   0.033
   13.40    -1.883    -1.937    +8.056   1.161   0.079
   13.43    -3.614    -0.834    +7.095   0.949   0.100
   13.45    -2.028    -0.026    -1.881   0.796   0.034
   13.47    -3.940    +0.577    -9.114   0.873   0.050
   13.49    +3.294    +0.261    -3.625   1.195   0.078
   13.51    +0.753    -1.073    -4.492   1.285   0.045
   13.53    +2.336    -0.233    +5.643   1.285   0.118
   13.56    -2.818    -0.721    +5.080   0.903   0.076
   13.58    -3.302    +1.870    +0.518   0.854   0.040
   13.60    -3.901    -1.155    -8.844   0.964   0.059
   13.62    -0.331    +0.626    -5.680   1.225   0.046
   13.64    +0.948    -1.750    -1.332   1.388   0.051
   13.67    +3.326    +0.445    +5.911   1.288   0.051
   13.69    -0.839    -0.210    +8.387   1.179   0.024
   13.71    -1.132    +1.143    -0.132   0.935   0.097
   13.73    -4.223    -0.489    -6.268   0.939   0.039
   13.75    +0.518    -0.433    -5.509   1.159   0.073
   13.78    -0.443    -1.593    -2.575   1.415   0.050
   13.80    +2.787    -0.098    +7.698   1.327   0.054
   13.82    -1.844    +0.296    +6.448   1.147   0.039
   13.84    +0.880    +1.361    +1.337   1.117   0.047
   13.86    -5.315    +0.475    -8.045   0.784   0.073
   13.88    +0.597    -1.019    -3.435   1.351   0.055
   13.91    -1.945    -2.215    -0.076   1.338   0.046
   13.93    +2.329    -0.730    +6.560   1.356   0.047
   13.95    -1.283    +0.515    +6.972   1.103   0.049
   13.97    +0.118    +2.059    +2.261   0.925   0.104
   13.99    -3.029    +1.525    -7.672   0.858   0.082
   14.02    +0.223    -2.148    -4.930   1.198   0.112
   14.04    -1.630    -1.505    -1.557   1.190   0.045
   14.06    +1.765    -1.084    +3.999   1.253   0.059
   14.08    -1.475    +0.708    +9.529   1.023   0.052
   14.10    -0.382    +2.020    +2.464   0.914   0.068
   14.13    -1.583    +1.052    -4.710   1.011   0.072
   14.15    -0.309    -0.625    -4.936   1.122   0.057
   14.17    -0.536    -2.578    -2.919   1.187   0.044
   14.19    +0.468    -1.103    +1.093   1.272   0.077
   14.21    -0.102    +0.253    +9.650   1.134   0.040
   14.24    -0.877    +2.053    +4.645   0.882   0.067
   14.26    -1.155    +0.551    -1.169   0.893   0.086
   14.28    -2.050    -0.467    -7.041   0.907   0.049
   14.30    +1.012    -2.068    -5.344   1.113   0.063
   14.32    -1.745    -0.968    -2.256   1.147   0.041
   14.34    +1.138    +0.466    +4.219   1.213   0.045
   14.37    -1.944    +2.014    +7.395   1.144   0.055
   14.39    -1.142    +1.656    +4.404   0.883   0.066
   14.41    -1.801    -0.218    -2.363   0.660   0.053
   14.43    -0.779    -1.248    -5.751   0.879   0.033
   14.45    +0.860    -1.809    -4.676   1.150   0.068
   14.48    -0.508    +0.705    -2.020   1.171   0.060
   14.50    +0.719    +1.654    +3.623   1.195   0.089
   14.52    -2.909    +0.789    +7.338   0.999   0.055
   14.54    -0.344    +1.148    +1.194   0.831   0.045
   14.56    -1.672    -0.816    -5.231   0.656   0.084
   14.58    +1.156    -0.967    -6.675   1.134   0.062
   14.61    -0.523    -0.881    -2.970   1.263   0.073
   14.63    +0.646    -0.539    -0.845   1.265   0.065
   14.65    +0.956    +2.449    +8.461   1.236   0.040
   14.67    -2.612    +0.099    +5.124   1.060   0.038
   14.69    +0.686    +1.045    +0.757   0.805   0.030
   14.72    -2.807    -0.962    -8.367   1.104   0.074
   14.74    +1.393    -1.846    -5.265   1.227   0.061
   14.76    -0.367    -0.263    -1.125   1.326   0.024
   14.78    +0.715    +1.095    +7.228   1.251   0.042
   14.80    -1.718    +1.215    +5.916   1.118   0.045
   14.83    -1.082    +1.919    -1.750   0.997   0.047
   14.85    -1.653    -0.142    -8.554   1.131   0.028
   14.87    -0.972    -1.275    -6.349   1.219   0.036
   14.89    +0.372    -1.515    -0.231   1.451   0.114
   14.91    +0.435    -0.596    +7.578   1.389   0.075
   14.93    -1.561    +1.848    +4.273   1.100   0.064
   14.96    -1.538    +2.739    -4.923   1.054   0.055
   14.98    -1.923    +0.714    -7.636   1.172   0.040

Logged 670 rows to disk_alpha_log.csv
