t_sec,alpha_x,alpha_y,alpha_z,omega_z_abs,residual_rms,a_c_x,a_c_y,a_c_z,s1_raw_x,s1_raw_y,s1_raw_z,s1_cal_x,s1_cal_y,s1_cal_z,s1_disk_x,s1_disk_y,s1_disk_z,s2_raw_x,s2_raw_y,s2_raw_z,s2_cal_x,s2_cal_y,s2_cal_z,s2_disk_x,s2_disk_y,s2_disk_z,s3_raw_x,s3_raw_y,s3_raw_z,s3_cal_x,s3_cal_y,s3_cal_z,s3_disk_x,s3_disk_y,s3_disk_z,s4_raw_x,s4_raw_y,s4_raw_z,s4_cal_x,s4_cal_y,s4_cal_z,s4_disk_x,s4_disk_y,s4_disk_z
3.6912,-0.788897,0.060326,1.985057,0.942563,0.066455,-0.077695,-0.401941,9.814407,-0.0546,-0.0663,0.975,-0.03444,-0.06061,0.98328,-0.33772,-0.59437,9.64265,-0.0624,0.0039,0.9243,-0.09813,-0.03087,1.00219,-0.2039,-0.06542,9.87746,-0.078,-0.1014,0.9789,-0.04643,-0.11465,0.99719,0.18515,-0.38908,9.84461,0.0,-0.039,1.014,0.03468,-0.06229,1.0079,0.04569,-0.55889,9.8929
3.7131,-4.060721,-0.554452,-6.641471,0.843696,0.066337,-0.127362,-0.49769,9.771838,0.0507,-0.0546,0.9321,0.06654,-0.04907,0.93917,0.65255,-0.48124,9.21015,0.0858,-0.0039,0.9399,0.04604,-0.03837,1.01791,-0.26001,-1.48839,9.88472,0.0351,-0.1131,1.0218,0.06321,-0.12586,1.04044,-0.90291,-0.37772,10.2497,0.0936,-0.0351,0.9906,0.12634,-0.05849,0.98436,0.00092,0.35659,9.74278
3.7359,-0.434366,-0.030015,-7.026645,1.224332,0.05288,-0.237191,-0.45185,9.741092,0.0624,-0.0663,0.975,0.07776,-0.06061,0.98328,0.76258,-0.59437,9.64265,0.0702,-0.0312,0.9282,0.03086,-0.06461,1.00612,-0.52024,-1.33154,9.78777,0.0585,-0.117,0.9711,0.0859,-0.12959,0.98933,-1.1145,-0.27052,9.75385,0.0975,-0.0273,0.9945,0.13016,-0.05087,0.98828,-0.07661,0.38903,9.78009
3.7579,-1.04701,-0.801211,-3.20884,1.372095,0.011821,-0.276042,-0.842025,9.811939,-0.0039,-0.117,0.9789,0.01418,-0.1106,0.98729,0.13908,-1.08461,9.68197,0.0624,-0.0312,0.9399,0.02328,-0.06461,1.01791,-0.51978,-1.26951,9.91044,0.0117,-0.0858,0.9945,0.04053,-0.09971,1.01292,-0.66566,-0.58266,9.95001,0.0117,-0.0273,0.9945,0.04614,-0.05087,0.98828,-0.05781,-0.43132,9.70533
3.7798,2.681344,-0.818425,4.664093,1.358158,0.121089,-0.164915,-0.822675,9.718996,-0.1131,-0.1209,1.0179,-0.09054,-0.11444,1.02738,-0.88787,-1.12232,10.07515,-0.0312,-0.0234,0.9204,-0.06778,-0.05711,0.99826,-0.45832,-0.36058,9.81081,-0.1287,-0.0663,0.936,-0.09558,-0.08103,0.95394,0.68783,-0.6349,9.38873,-0.0663,-0.0312,0.9906,-0.03025,-0.05468,0.98436,-0.0013,-1.1729,9.60129
3.8018,-1.546256,0.160836,7.314613,1.092825,0.039216,-0.067818,-0.845556,9.762696,-0.1248,-0.1053,0.9633,-0.10176,-0.09906,0.97125,-0.9979,-0.97148,9.5247,-0.0819,0.0,0.9126,-0.1171,-0.03462,0.99041,-0.24401,0.13113,9.78218,-0.1443,-0.0624,0.9906,-0.1107,-0.0773,1.00899,0.82442,-0.75024,9.92054,-0.1287,-0.0468,1.0179,-0.09135,-0.0699,1.01182,0.14622,-1.79164,9.82336
3.8237,1.17818,0.953622,2.045852,1.020974,0.031308,-0.085069,-0.501162,9.777355,-0.0546,-0.0702,0.9984,-0.03444,-0.06445,1.00733,-0.33772,-0.63208,9.87856,-0.0429,0.0039,0.9087,-0.07916,-0.03087,0.98648,-0.20355,-0.23446,9.70489,-0.0741,-0.1014,0.9516,-0.04265,-0.11465,0.96966,0.15452,-0.34841,9.57695,-0.0234,-0.039,1.0218,0.01176,-0.06229,1.01574,0.04648,-0.7897,9.94902
3.8456,-4.880356,1.28143,-6.327578,0.897698,0.053386,-0.14968,-0.528994,9.760794,0.0546,-0.0702,0.9243,0.07028,-0.06445,0.93116,0.68923,-0.63208,9.13152,0.0624,-0.0039,0.9087,0.02328,-0.03837,0.98648,-0.26592,-1.23443,9.60136,0.0507,-0.1014,1.0374,0.07834,-0.11465,1.05617,-1.05108,-0.51446,10.38089,0.0858,-0.039,1.0101,0.1187,-0.06229,1.00397,0.02905,0.26499,9.92941
3.8674,-0.134855,-0.61557,-5.379431,1.118989,0.061189,-0.261517,-0.524426,9.744171,0.0312,-0.0663,0.9789,0.04784,-0.06061,0.98729,0.46917,-0.59437,9.68197,0.0663,-0.0273,0.936,0.02707,-0.06086,1.01398,-0.48304,-1.30207,9.8679,0.0351,-0.1131,0.9672,0.06321,-0.12586,0.98539,-0.89009,-0.29421,9.7165,0.0663,-0.0195,0.9906,0.0996,-0.04326,0.98436,-0.14211,0.09294,9.71031
3.8893,-2.151755,-1.70598,-2.305556,1.205869,0.052551,-0.29323,-0.75893,9.756865,-0.0078,-0.0975,0.9555,0.01044,-0.09137,0.96323,0.1024,-0.89605,9.44606,0.039,-0.0351,0.9477,0.00051,-0.06836,1.02576,-0.55815,-1.05593,10.01061,0.0,-0.0897,0.9984,0.02919,-0.10345,1.01685,-0.55666,-0.54919,9.99691,0.0,-0.0156,0.9828,0.03468,-0.03946,0.97651,-0.16051,-0.53455,9.57388
3.9112,1.768198,-1.072329,5.591885,1.337422,0.035123,-0.295683,-0.768779,9.760517,-0.1287,-0.1131,1.0101,-0.1055,-0.10675,1.01936,-1.03458,-1.0469,9.99652,-0.0702,-0.0273,0.9243,-0.10572,-0.06086,1.00219,-0.49877,0.005,9.8881,-0.0975,-0.0741,0.9516,-0.06533,-0.0885,0.96966,0.38536,-0.59511,9.54386,-0.0936,-0.0273,0.9945,-0.05698,-0.05087,0.98828,-0.03474,-1.43811,9.61359
3.9331,-0.832654,0.677768,6.68787,1.133144,0.046222,-0.02292,-0.832762,9.764295,-0.1092,-0.1014,0.9711,-0.0868,-0.09522,0.97927,-0.85119,-0.93377,9.60334,-0.0702,0.0039,0.9087,-0.10572,-0.03087,0.98648,-0.20644,0.02456,9.73192,-0.1404,-0.0702,0.9789,-0.10692,-0.08477,0.99719,0.78767,-0.66108,9.8165,-0.1248,-0.0507,1.0257,-0.08753,-0.07371,1.01967,0.17829,-1.76076,9.90543
3.9550,-0.118425,1.287638,4.468631,0.930145,0.098345,0.112173,-0.674198,9.72701,-0.0663,-0.0858,0.975,-0.04566,-0.07984,0.98328,-0.44775,-0.78292,9.64265,-0.0468,0.0117,0.9009,-0.08295,-0.02338,0.97862,-0.13131,-0.18857,9.63139,-0.1521,-0.0741,0.9633,-0.11826,-0.0885,0.98146,0.90124,-0.59778,9.67297,-0.0585,-0.0468,1.0257,-0.02261,-0.0699,1.01967,0.12651,-1.12752,9.96102
3.9770,-3.02827,1.614455,-8.036381,0.802681,0.035393,-0.139338,-0.594434,9.74238,0.078,-0.0702,0.9438,0.09272,-0.06445,0.9512,0.90929,-0.63208,9.32811,0.1014,0.0,0.9087,0.06122,-0.03462,0.98648,-0.22504,-1.604,9.56238,0.0702,-0.0975,1.0101,0.09724,-0.11092,1.02865,-1.22867,-0.51431,10.10335,0.0975,-0.0351,1.014,0.13016,-0.05849,1.0079,-0.01293,0.37266,9.97568
3.9988,0.097218,-0.499021,-6.457945,1.078655,0.060581,-0.280467,-0.563779,9.768054,0.0429,-0.0741,0.9828,0.05906,-0.0683,0.9913,0.5792,-0.66979,9.72129,0.0819,-0.0312,0.9399,0.04225,-0.06461,1.01791,-0.51771,-1.45452,9.89114,0.0468,-0.1014,0.9672,0.07456,-0.11465,0.98539,-0.99755,-0.40599,9.6964,0.0858,-0.0156,0.9945,0.1187,-0.03946,0.98828,-0.1858,0.27519,9.76339
4.0207,-1.945844,-1.72746,-2.088272,1.171895,0.047072,-0.403613,-0.780108,9.781677,-0.0273,-0.0975,0.9594,-0.00826,-0.09137,0.96724,-0.08098,-0.89605,9.48538,0.039,-0.0468,0.9516,0.00051,-0.0796,1.02969,-0.66799,-1.06127,10.05002,0.0078,-0.0819,0.9984,0.03675,-0.09598,1.01685,-0.6283,-0.62372,9.98352,0.0,-0.0078,0.9867,0.03468,-0.03185,0.98043,-0.23718,-0.53939,9.60779
4.0425,1.492884,-1.417462,0.272,1.252211,0.054731,-0.260881,-0.782798,9.751069,-0.0507,-0.1053,1.0023,-0.0307,-0.09906,1.01134,-0.30104,-0.97148,9.91788,0.0156,-0.0312,0.9399,-0.02225,-0.06461,1.01791,-0.52473,-0.82548,9.95678,-0.0468,-0.078,0.9516,-0.01618,-0.09224,0.96966,-0.09746,-0.57308,9.5357,-0.0234,-0.0195,0.9867,0.01176,-0.04326,0.98043,-0.12029,-0.76116,9.59391
4.0644,0.199671,-0.265258,8.67926,1.128643,0.026369,-0.084553,-0.809791,9.788363,-0.1443,-0.1053,0.9906,-0.12046,-0.09906,0.99931,-1.18128,-0.97148,9.79993,-0.0975,-0.0039,0.9165,-0.13228,-0.03837,0.99433,-0.28198,0.2747,9.83631,-0.1716,-0.0702,0.9711,-0.13717,-0.08477,0.98933,1.08586,-0.64045,9.74881,-0.1404,-0.0351,1.014,-0.10281,-0.05849,1.0079,0.03919,-1.90194,9.7684
4.0863,-0.705186,1.280277,3.659595,0.875816,0.088572,0.108195,-0.604764,9.8477,-0.0429,-0.078,0.9828,-0.02322,-0.07215,0.9913,-0.22769,-0.7075,9.72129,-0.0585,0.0078,0.9087,-0.09434,-0.02712,0.98648,-0.16845,-0.086,9.71997,-0.1326,-0.078,0.9867,-0.09936,-0.09224,1.00505,0.7093,-0.60283,9.90182,-0.0468,-0.0468,1.0335,-0.01115,-0.0699,1.02751,0.11962,-1.02272,10.04772
4.1082,-1.446485,1.233053,-2.948507,0.784827,0.07467,-0.024179,-0.490889,9.681621,0.0351,-0.0663,0.9555,0.05158,-0.06061,0.96323,0.50584,-0.59437,9.44606,0.0117,0.0039,0.9009,-0.02605,-0.03087,0.97862,-0.19863,-0.74451,9.5742,-0.0156,-0.0936,0.9789,0.01406,-0.10718,0.99719,-0.40513,-0.47884,9.81636,0.0429,-0.0351,1.0101,0.07669,-0.05849,1.00397,0.0012,-0.14584,9.88986
4.1300,-1.760354,-0.716365,-6.401938,0.993158,0.041791,-0.354018,-0.651582,9.796824,0.0351,-0.0819,0.9711,0.05158,-0.07599,0.97927,0.50584,-0.74521,9.60334,0.078,-0.0312,0.936,0.03845,-0.06461,1.01398,-0.51856,-1.41353,9.85668,0.0702,-0.0897,1.0062,0.09724,-0.10345,1.02471,-1.22531,-0.5807,10.05399,0.0702,-0.0156,0.9867,0.10342,-0.03946,0.98043,-0.17805,0.13311,9.67329
4.1519,0.151464,-2.588082,-2.621699,1.155957,0.053041,-0.418226,-0.756723,9.724936,-0.0234,-0.0936,0.9789,-0.00452,-0.08753,0.98729,-0.04431,-0.85834,9.68197,0.0468,-0.0429,0.9594,0.0081,-0.07585,1.03755,-0.62955,-1.14281,10.11856,0.0195,-0.0858,0.9633,0.04809,-0.09971,0.98146,-0.73242,-0.53712,9.6432,0.0039,-0.0039,0.9711,0.0385,-0.02804,0.96474,-0.26662,-0.48862,9.45601
4.1737,0.592798,-1.045013,-1.021153,1.22579,0.039288,-0.300656,-0.752078,9.750697,-0.0312,-0.1014,0.9906,-0.012,-0.09522,0.99931,-0.11766,-0.93377,9.79993,0.0234,-0.0351,0.936,-0.01466,-0.06836,1.01398,-0.56109,-0.89594,9.91111,-0.0195,-0.0819,0.9633,0.01028,-0.09598,0.98146,-0.36075,-0.56241,9.64817,-0.0078,-0.0156,0.9906,0.02704,-0.03946,0.98436,-0.16313,-0.61619,9.64358
4.1956,0.781704,-0.016986,7.751265,1.140693,0.060234,-0.07589,-0.726626,9.72744,-0.1287,-0.1014,0.9945,-0.1055,-0.09522,1.00332,-1.03458,-0.93377,9.83925,-0.0936,-0.0078,0.9048,-0.12848,-0.04212,0.98255,-0.31961,0.24923,9.71787,-0.1677,-0.0741,0.9594,-0.13338,-0.0885,0.97753,1.05034,-0.58746,9.63913,-0.1131,-0.0312,1.0062,-0.07608,-0.05468,1.00005,0.00029,-1.6345,9.71352
4.2176,-2.555178,1.426112,6.049453,1.06364,0.087661,0.008255,-0.730009,9.782521,-0.1092,-0.0975,0.9438,-0.0868,-0.09137,0.9512,-0.85119,-0.89605,9.32811,-0.0663,0.0117,0.9087,-0.10192,-0.02338,0.98648,-0.13252,-0.01155,9.72733,-0.1482,-0.078,0.9945,-0.11448,-0.09224,1.01292,0.85565,-0.61041,9.98223,-0.0858,-0.0507,1.0413,-0.04934,-0.07371,1.03536,0.16108,-1.40202,10.09241
4.2395,0.473536,1.025615,1.612752,0.884296,0.025622,-0.103263,-0.570019,9.778589,-0.0546,-0.0741,0.9945,-0.03444,-0.0683,1.00332,-0.33772,-0.66979,9.83925,-0.0234,0.0039,0.9048,-0.06019,-0.03087,0.98255,-0.20192,-0.41548,9.64727,-0.0741,-0.0936,0.9672,-0.04265,-0.10718,0.98539,0.1533,-0.44462,9.71802,-0.0195,-0.0312,1.0179,0.01558,-0.05468,1.01182,-0.02671,-0.75018,9.90982
4.2615,-2.819099,0.136363,-5.408865,0.637687,0.015491,-0.216471,-0.706478,9.762294,0.0351,-0.0819,0.9516,0.05158,-0.07599,0.95922,0.50584,-0.74521,9.40675,0.078,-0.0078,0.9243,0.03845,-0.04212,1.00219,-0.29931,-1.39886,9.73954,0.0351,-0.0819,1.014,0.06321,-0.09598,1.03258,-0.89129,-0.65519,10.12843,0.0546,-0.0156,0.9984,0.08815,-0.03946,0.9922,-0.18113,-0.02665,9.77445
4.2834,1.152356,-1.751435,-6.427368,0.991985,0.033744,-0.468096,-0.740175,9.768281,0.0156,-0.0897,0.9984,0.03288,-0.08368,1.00733,0.32246,-0.82063,9.87856,0.0975,-0.039,0.9555,0.05742,-0.07211,1.03362,-0.58786,-1.61941,10.02968,0.078,-0.0819,0.9594,0.1048,-0.09598,0.97753,-1.28597,-0.58364,9.58356,0.0624,0.0,0.9789,0.09578,-0.02423,0.97259,-0.32102,0.06298,9.58132
4.3053,-0.961573,-1.50197,-4.314474,1.14641,0.032498,-0.411845,-0.877497,9.751514,0.0,-0.1092,0.9711,0.01792,-0.10291,0.97927,0.17575,-1.00919,9.60334,0.0819,-0.0429,0.9477,0.04225,-0.07585,1.02576,-0.62712,-1.46386,9.96886,0.039,-0.0741,0.9867,0.067,-0.0885,1.00505,-0.91947,-0.68687,9.8495,0.0195,-0.0039,0.9828,0.05377,-0.02804,0.97651,-0.27654,-0.35007,9.58436
4.3272,0.786276,-0.034993,-0.315169,1.166289,0.028621,-0.264204,-0.816217,9.764593,-0.0429,-0.1014,0.9945,-0.02322,-0.09522,1.00332,-0.22769,-0.93377,9.83925,0.0234,-0.0234,0.9243,-0.01466,-0.05711,1.00219,-0.45211,-0.88261,9.79506,-0.0234,-0.0741,0.9633,0.0065,-0.0885,0.98146,-0.32125,-0.63368,9.63796,-0.0273,-0.0273,1.0062,0.00794,-0.05087,1.00005,-0.05576,-0.81481,9.78611
4.3491,-1.260474,1.430084,6.139573,1.091387,0.072185,0.031496,-0.838912,9.734062,-0.1014,-0.1014,0.9672,-0.07932,-0.09522,0.97526,-0.77784,-0.93377,9.56402,-0.0507,0.0,0.8931,-0.08675,-0.03462,0.97076,-0.24285,-0.14493,9.55971,-0.1599,-0.0624,0.9867,-0.12582,-0.0773,1.00505,0.97351,-0.73992,9.8867,-0.1014,-0.0507,1.0257,-0.06462,-0.07371,1.01967,0.17316,-1.53703,9.92582
4.3710,-1.604689,1.082989,5.900116,0.971574,0.046893,-0.06277,-0.752422,9.757643,-0.1092,-0.0897,0.9594,-0.0868,-0.08368,0.96724,-0.85119,-0.82063,9.48538,-0.0624,0.0039,0.9048,-0.09813,-0.03087,0.98255,-0.20605,-0.04545,9.68588,-0.1326,-0.0741,0.9867,-0.09936,-0.0885,1.00505,0.71052,-0.63901,9.89618,-0.0975,-0.0429,1.0296,-0.0608,-0.0661,1.02359,0.09564,-1.50459,9.96313
4.3928,-0.94102,0.018439,-0.760169,0.70132,0.036678,-0.249043,-0.643067,9.725238,-0.0429,-0.0741,0.9711,-0.02322,-0.0683,0.97927,-0.22769,-0.66979,9.60334,0.0156,-0.0039,0.9165,-0.02225,-0.03837,0.99433,-0.27002,-0.79838,9.72433,-0.0195,-0.0858,0.9828,0.01028,-0.09971,1.00112,-0.36655,-0.55606,9.84424,0.0,-0.0195,0.9984,0.03468,-0.04326,0.9922,-0.13192,-0.54803,9.72905
4.4147,-2.010475,-0.895815,-5.66655,0.682991,0.040947,-0.377637,-0.765305,9.695146,0.0156,-0.0819,0.9516,0.03288,-0.07599,0.95922,0.32246,-0.74521,9.40675,0.0936,-0.0273,0.936,0.05363,-0.06086,1.01398,-0.48015,-1.56109,9.84087,0.0546,-0.0741,0.9945,0.08212,-0.0885,1.01292,-1.06949,-0.70315,9.92143,0.0507,-0.0039,0.9828,0.08433,-0.02804,0.97651,-0.28337,-0.05176,9.61154
4.4365,0.880929,-1.50906,-5.758072,0.997917,0.039654,-0.476897,-0.776603,9.746549,0.0039,-0.0975,0.9906,0.02166,-0.09137,0.99931,0.21243,-0.89605,9.79993,0.0897,-0.039,0.9516,0.04983,-0.07211,1.02969,-0.58911,-1.54141,9.99909,0.0702,-0.0741,0.9594,0.09724,-0.0885,0.97753,-1.20943,-0.65382,9.57441,0.0546,0.0,0.9828,0.08815,-0.02423,0.97651,-0.32148,-0.01513,9.61277
4.4584,-0.048427,-0.558772,-2.804311,1.116993,0.021158,-0.281941,-0.8649,9.70782,-0.0078,-0.1092,0.9789,0.01044,-0.10291,0.98729,0.1024,-1.00919,9.68197,0.0585,-0.0273,0.9282,0.01948,-0.06086,1.00612,-0.48472,-1.22008,9.79899,0.0078,-0.0663,0.9711,0.03675,-0.08103,0.98933,-0.617,-0.72666,9.69437,0.0039,-0.0195,0.9906,0.0385,-0.04326,0.98436,-0.12844,-0.50367,9.65595
4.4802,0.906038,0.66358,0.59493,1.085056,0.009203,-0.135744,-0.781144,9.731816,-0.0429,-0.1014,0.9945,-0.02322,-0.09522,1.00332,-0.22769,-0.93377,9.83925,0.0078,-0.0039,0.9087,-0.02984,-0.03837,0.98648,-0.2717,-0.71639,9.65542,-0.0507,-0.0741,0.9594,-0.01996,-0.0885,0.97753,-0.06102,-0.6201,9.6073,-0.0312,-0.0351,1.0101,0.00413,-0.05849,1.00397,0.01743,-0.85432,9.8253
4.5021,-0.564745,1.199798,7.515302,1.112257,0.051395,-0.031711,-0.836192,9.725517,-0.1209,-0.0975,0.975,-0.09802,-0.09137,0.98328,-0.96122,-0.89605,9.64265,-0.0741,0.0039,0.8931,-0.10951,-0.03087,0.97076,-0.20857,0.07754,9.58252,-0.1521,-0.0741,0.975,-0.11826,-0.0885,0.99326,0.8985,-0.61568,9.78723,-0.1404,-0.0468,1.0257,-0.10281,-0.0699,1.01967,0.14445,-1.91057,9.88967
4.5239,-2.310003,0.676267,4.210139,0.781783,0.079099,-0.026437,-0.726962,9.746939,-0.0819,-0.0897,0.9516,-0.06062,-0.08368,0.95922,-0.59446,-0.82063,9.40675,-0.0429,0.0039,0.9087,-0.07916,-0.03087,0.98648,-0.20355,-0.23446,9.70489,-0.1287,-0.0663,0.9984,-0.09558,-0.08103,1.01685,0.67318,-0.73034,9.99811,-0.0585,-0.0351,1.0179,-0.02261,-0.05849,1.01182,0.01908,-1.12241,9.87801
4.5458,-0.411984,-0.29721,-1.783118,0.627038,0.071539,-0.359837,-0.636803,9.752111,-0.0312,-0.078,0.9867,-0.012,-0.07215,0.99531,-0.11766,-0.7075,9.76061,0.0117,-0.0117,0.9165,-0.02605,-0.04587,0.99433,-0.34394,-0.76227,9.72892,0.0195,-0.0819,0.9867,0.04809,-0.09598,1.00505,-0.73669,-0.60908,9.86608,0.0078,-0.0078,0.9906,0.04232,-0.03185,0.98436,-0.24105,-0.46835,9.65284
4.5676,-2.440045,-0.938632,-8.935098,0.796132,0.072892,-0.417589,-0.75305,9.683472,0.0624,-0.0897,0.936,0.07776,-0.08368,0.94318,0.76258,-0.82063,9.24947,0.1248,-0.0312,0.9477,0.08398,-0.06461,1.02576,-0.51232,-1.86954,9.92529,0.1092,-0.078,0.9906,0.13505,-0.09224,1.00899,-1.58843,-0.67624,9.87412,0.0936,0.0,0.9867,0.12634,-0.02423,0.98043,-0.33219,0.35422,9.685
4.5895,1.085376,-1.455285,-3.643528,1.126909,0.070788,-0.319697,-0.763169,9.754601,0.0117,-0.1014,0.9945,0.02914,-0.09522,1.00332,0.28578,-0.93377,9.83925,0.0546,-0.0351,0.9477,0.01569,-0.06836,1.02576,-0.5565,-1.20394,9.99516,0.0195,-0.0819,0.9555,0.04809,-0.09598,0.9736,-0.72937,-0.56136,9.56139,0.0195,-0.0039,0.9867,0.05377,-0.02804,0.98043,-0.2787,-0.35361,9.62261
4.6113,-0.950693,0.533872,-3.048855,1.08884,0.024406,-0.193472,-0.891026,9.7552,0.0039,-0.1131,0.9711,0.02166,-0.10675,0.97927,0.21243,-1.0469,9.60334,0.0624,-0.0117,0.9204,0.02328,-0.04587,0.99826,-0.33815,-1.2473,9.71704,0.0078,-0.0663,0.9867,0.03675,-0.08103,1.00505,-0.62066,-0.75052,9.84671,0.0039,-0.0312,1.0101,0.0385,-0.05468,1.00397,-0.02751,-0.51938,9.85371
4.6332,1.918223,1.279781,5.713688,1.236001,0.059223,-0.078031,-0.778553,9.722888,-0.1131,-0.1131,1.0023,-0.09054,-0.10675,1.01134,-0.88787,-1.0469,9.91788,-0.0624,0.0,0.897,-0.09813,-0.03462,0.97469,-0.24366,-0.03791,9.60961,-0.1287,-0.0663,0.9399,-0.09558,-0.08103,0.95787,0.68691,-0.64087,9.42682,-0.0858,-0.0468,1.0257,-0.04934,-0.0699,1.01967,0.13249,-1.38854,9.93724
4.6550,-3.237178,-0.028253,6.719228,1.004469,0.065577,0.024135,-0.887188,9.728591,-0.1053,-0.1053,0.936,-0.08306,-0.09906,0.94318,-0.81452,-0.97148,9.24947,-0.0585,0.0039,0.9165,-0.09434,-0.03087,0.99433,-0.20435,-0.09443,9.79697,-0.1638,-0.0624,1.0062,-0.1296,-0.0773,1.02471,1.00598,-0.76866,10.07819,-0.1209,-0.0429,1.014,-0.08371,-0.0661,1.0079,0.10942,-1.71418,9.78973
4.6769,-0.06036,1.050606,2.856395,0.755917,0.046745,-0.193537,-0.664692,9.757859,-0.0819,-0.078,0.9828,-0.06062,-0.07215,0.9913,-0.59446,-0.7075,9.72129,-0.0273,-0.0078,0.9048,-0.06398,-0.04212,0.98255,-0.3126,-0.37982,9.65222,-0.0858,-0.078,0.9711,-0.05399,-0.09224,0.98933,0.26842,-0.59203,9.73674,-0.0429,-0.0195,1.0218,-0.00733,-0.04326,1.01574,-0.13551,-0.97942,9.92118
4.6988,-2.095955,-0.960027,-4.588071,0.835712,0.075852,-0.268201,-0.729734,9.742363,0.0156,-0.0858,0.9516,0.03288,-0.07984,0.95922,0.32246,-0.78292,9.40675,0.078,-0.0234,0.9438,0.03845,-0.05711,1.02183,-0.44419,-1.42062,9.93258,0.0156,-0.0819,0.9945,0.04431,-0.09598,1.01292,-0.70148,-0.61993,9.94331,0.0468,-0.0078,0.9906,0.08051,-0.03185,0.98436,-0.2496,-0.09547,9.68682
4.7206,-1.148684,-0.729367,-6.606722,0.977328,0.047782,-0.453558,-0.74987,9.747374,0.0273,-0.0897,0.9711,0.0441,-0.08368,0.97927,0.43249,-0.82063,9.60334,0.0975,-0.0351,0.936,0.05742,-0.06836,1.01398,-0.55325,-1.59899,9.83774,0.0858,-0.0897,0.9906,0.11236,-0.10345,1.00899,-1.36983,-0.56119,9.8974,0.0546,0.0,0.9867,0.08815,-0.02423,0.98043,-0.32365,-0.01867,9.65102
4.7425,0.560523,-1.106679,-4.87695,1.150995,0.031994,-0.320966,-0.837828,9.834375,0.0156,-0.1053,1.0023,0.03288,-0.09906,1.01134,0.32246,-0.97148,9.91788,0.0858,-0.0351,0.9477,0.04604,-0.06836,1.02576,-0.5532,-1.49996,9.96427,0.0351,-0.0741,0.9789,0.06321,-0.0885,0.99719,-0.8806,-0.67385,9.77439,0.0351,-0.0156,0.9906,0.06905,-0.03946,0.98436,-0.17253,-0.20602,9.68096
4.7643,0.188917,-0.293514,0.044161,1.272139,0.087426,-0.039793,-0.96052,9.719214,-0.0156,-0.1248,0.9828,0.00296,-0.11829,0.9913,0.02905,-1.16003,9.72129,0.039,-0.0156,0.9243,0.00051,-0.04962,1.00219,-0.37695,-1.02973,9.77889,-0.0741,-0.0624,0.9672,-0.04265,-0.0773,0.98539,0.16309,-0.73403,9.67293,-0.039,-0.0351,0.9984,-0.00351,-0.05849,0.9922,0.02564,-0.91829,9.70375
4.7862,0.123232,1.353226,7.250384,1.164007,0.048823,-0.029988,-0.914244,9.690241,-0.1092,-0.1131,0.9789,-0.0868,-0.10675,0.98729,-0.85119,-1.0469,9.68197,-0.0702,-0.0039,0.8892,-0.10572,-0.03837,0.96683,-0.2821,0.04363,9.54107,-0.1521,-0.0585,0.9633,-0.11826,-0.07356,0.98146,0.90614,-0.74248,9.65043,-0.1404,-0.0429,1.0257,-0.10281,-0.0661,1.01967,0.1072,-1.91123,9.8875
4.8083,-2.149422,1.143281,3.361809,0.935047,0.048987,-0.028408,-0.750146,9.784279,-0.0624,-0.0936,0.9555,-0.04192,-0.08753,0.96323,-0.41107,-0.85834,9.44606,-0.039,0.0039,0.9087,-0.07537,-0.03087,0.98648,-0.20314,-0.27146,9.70103,-0.1014,-0.0702,0.9984,-0.06911,-0.08477,1.01685,0.41264,-0.70178,9.99632,-0.0624,-0.0429,1.0296,-0.02643,-0.0661,1.02359,0.08795,-1.169,9.99371
4.8302,-1.329986,-0.081291,-6.9481,0.980162,0.063816,-0.150909,-0.709394,9.774091,0.0585,-0.0819,0.9672,0.07402,-0.07599,0.97526,0.7259,-0.74521,9.56402,0.1092,-0.0156,0.936,0.0688,-0.04962,1.01398,-0.36823,-1.70776,9.82433,0.039,-0.0858,0.9906,0.067,-0.09971,1.00899,-0.92406,-0.58431,9.90449,0.078,-0.0312,0.9984,0.11106,-0.05468,0.9922,-0.03725,0.1997,9.80352
4.8522,-2.345064,-0.773456,-7.274026,1.160455,0.040053,-0.399414,-0.765797,9.757645,0.0429,-0.0975,0.9516,0.05906,-0.09137,0.95922,0.5792,-0.89605,9.40675,0.1053,-0.0429,0.9438,0.06501,-0.07585,1.02183,-0.62508,-1.68188,9.90738,0.0819,-0.0858,1.0023,0.10858,-0.09971,1.02078,-1.33431,-0.61417,10.00708,0.0702,-0.0117,0.9906,0.10342,-0.03565,0.98436,-0.21747,0.12892,9.70937
4.8740,-0.235537,-2.07316,-4.781175,1.305212,0.030623,-0.429442,-0.828141,9.748238,0.0039,-0.1092,0.9789,0.02166,-0.10291,0.98729,0.21243,-1.00919,9.68197,0.078,-0.0468,0.9555,0.03845,-0.0796,1.03362,-0.66343,-1.43529,10.04972,0.0546,-0.0819,0.975,0.08212,-0.09598,0.99326,-1.06736,-0.60098,9.74227,0.0273,-0.0117,0.975,0.06141,-0.03565,0.96866,-0.19941,-0.26711,9.51899
