t_sec,alpha_x,alpha_y,alpha_z,omega_z_abs,residual_rms,a_c_x,a_c_y,a_c_z,s1_raw_x,s1_raw_y,s1_raw_z,s1_cal_x,s1_cal_y,s1_cal_z,s1_disk_x,s1_disk_y,s1_disk_z,s2_raw_x,s2_raw_y,s2_raw_z,s2_cal_x,s2_cal_y,s2_cal_z,s2_disk_x,s2_disk_y,s2_disk_z,s3_raw_x,s3_raw_y,s3_raw_z,s3_cal_x,s3_cal_y,s3_cal_z,s3_disk_x,s3_disk_y,s3_disk_z,s4_raw_x,s4_raw_y,s4_raw_z,s4_cal_x,s4_cal_y,s4_cal_z,s4_disk_x,s4_disk_y,s4_disk_z
0.2427,-1.835623,1.880212,-4.242669,1.238871,0.052121,-0.015735,-0.776852,9.816642,0.0468,-0.0975,0.9672,0.0628,-0.09137,0.97526,0.61587,-0.89605,9.56402,0.0702,-0.0039,0.9087,0.03086,-0.03837,0.98648,-0.2651,-1.30843,9.59364,0.0039,-0.0897,1.0023,0.03297,-0.10345,1.02078,-0.59462,-0.55624,10.03394,0.0234,-0.0546,1.0296,0.05759,-0.07751,1.02359,0.18091,-0.34668,10.07497
0.2647,-0.888911,-0.760035,0.666196,1.357094,0.109398,-0.094984,-1.019821,9.781403,-0.0156,-0.1209,0.9789,0.00296,-0.11444,0.98729,0.02905,-1.12232,9.68197,0.0312,-0.0273,0.9321,-0.00708,-0.06086,1.01005,-0.48718,-0.96505,9.86434,-0.0624,-0.0702,0.9906,-0.0313,-0.08477,1.00899,0.04401,-0.70073,9.90953,-0.078,-0.0351,0.9984,-0.0417,-0.05849,0.9922,0.03418,-1.29118,9.66977
0.2866,0.952448,-3.10815,8.995819,1.296492,0.043953,-0.388047,-1.10383,9.799037,-0.1755,-0.1365,1.0023,-0.15038,-0.12983,1.01134,-1.4747,-1.27316,9.91788,-0.0741,-0.0429,0.9555,-0.10951,-0.07585,1.03362,-0.64277,0.00826,10.19995,-0.1404,-0.0507,0.9672,-0.10692,-0.06609,0.98539,0.79653,-0.82406,9.67406,-0.1872,-0.0039,0.9828,-0.14864,-0.02804,0.97651,-0.23125,-2.32636,9.40426
0.3085,1.015242,-1.755091,4.783863,0.982117,0.06593,-0.282187,-1.085657,9.791836,-0.1092,-0.1209,0.9984,-0.0868,-0.11444,1.00733,-0.85119,-1.12232,9.87856,-0.0117,-0.0234,0.9477,-0.04881,-0.05711,1.02576,-0.45325,-0.57355,10.05971,-0.0975,-0.0468,0.9633,-0.06533,-0.06236,0.98146,0.39117,-0.86624,9.61866,-0.1287,-0.0078,0.9984,-0.09135,-0.03185,0.9922,-0.21548,-1.78052,9.61041
0.3304,-0.49956,0.729191,-4.915411,0.912214,0.083742,-0.05473,-0.942649,9.736884,0.0546,-0.1014,0.975,0.07028,-0.09522,0.98328,0.68923,-0.93377,9.64265,0.1053,-0.0039,0.9204,0.06501,-0.03837,0.99826,-0.2601,-1.65344,9.67383,0.0078,-0.0663,0.9789,0.03675,-0.08103,0.99719,-0.61883,-0.73859,9.77054,0.0117,-0.0312,1.0101,0.04614,-0.05468,1.00397,-0.02922,-0.44481,9.86051
0.3523,-0.801119,1.520273,-3.533262,1.228379,0.03034,-0.033524,-0.686923,9.817253,0.0273,-0.0975,0.9828,0.0441,-0.09137,0.9913,0.43249,-0.89605,9.72129,0.0468,0.0039,0.9087,0.0081,-0.03087,0.98648,-0.19406,-1.08552,9.61608,0.0,-0.0936,0.9906,0.02919,-0.10718,1.00899,-0.55605,-0.50108,9.92638,0.0312,-0.0546,1.0218,0.06523,-0.07751,1.01574,0.18353,-0.26503,10.00527
0.3741,-2.425362,1.492342,-1.56712,1.173333,0.037569,-0.002634,-0.817708,9.74703,0.0078,-0.1014,0.9516,0.0254,-0.09522,0.95922,0.24911,-0.93377,9.40675,0.039,0.0,0.9048,0.00051,-0.03462,0.98255,-0.23207,-1.00797,9.58585,-0.0351,-0.078,1.0023,-0.00484,-0.09224,1.02078,-0.2205,-0.65389,10.02764,-0.0117,-0.0546,1.0218,0.02322,-0.07751,1.01574,0.19293,-0.67521,9.96789
0.3960,0.012729,-0.457496,0.607019,1.307586,0.059416,-0.124943,-0.906367,9.811144,-0.0273,-0.117,0.9906,-0.00826,-0.1106,0.99931,-0.08098,-1.08461,9.79993,0.0117,-0.0156,0.9321,-0.02605,-0.04962,1.01005,-0.37898,-0.7787,9.88255,-0.0468,-0.0741,0.9789,-0.01618,-0.0885,0.99719,-0.10264,-0.65101,9.79667,-0.0585,-0.039,1.0062,-0.02261,-0.06229,1.00005,0.06283,-1.11115,9.76543
0.4179,0.237508,-2.054919,7.674217,1.033395,0.058375,-0.280001,-1.094085,9.765707,-0.1443,-0.1248,0.9867,-0.12046,-0.11829,0.99531,-1.18128,-1.16003,9.76061,-0.0546,-0.0273,0.9438,-0.09054,-0.06086,1.02183,-0.49497,-0.16298,10.06424,-0.1365,-0.0429,0.9711,-0.10314,-0.05862,0.98933,0.76102,-0.90346,9.69981,-0.1677,-0.0078,0.9945,-0.12954,-0.03185,0.98828,-0.20477,-2.14987,9.53818
0.4397,0.433835,-2.468251,7.504176,0.991842,0.052281,-0.335707,-1.070049,9.807135,-0.1638,-0.1326,0.9906,-0.13916,-0.12598,0.99931,-1.36467,-1.23545,9.79993,-0.0624,-0.0156,0.9555,-0.09813,-0.04962,1.03362,-0.38424,-0.09961,10.18581,-0.117,-0.039,0.9711,-0.08423,-0.05489,0.98933,0.57702,-0.94508,9.68887,-0.1521,-0.0117,0.9945,-0.11427,-0.03565,0.98828,-0.17093,-2.00006,9.55394
0.4616,0.251796,-0.225624,-1.196514,0.933,0.056848,-0.237264,-0.870574,9.816098,-0.039,-0.1092,0.9945,-0.01948,-0.10291,1.00332,-0.19101,-1.00919,9.83925,0.039,0.0,0.9321,0.00051,-0.03462,1.01005,-0.22907,-1.03592,9.85406,-0.0078,-0.0663,0.9789,0.02163,-0.08103,0.99719,-0.47065,-0.73424,9.77479,-0.0156,-0.0273,1.0062,0.0194,-0.05087,1.00005,-0.05832,-0.70295,9.7963
0.4834,-1.707403,1.68507,-8.594747,0.826367,0.05101,-0.025686,-0.777323,9.785779,0.1053,-0.0858,0.9672,0.1189,-0.07984,0.97526,1.16603,-0.78292,9.56402,0.1287,0.0039,0.9126,0.08777,-0.03087,0.99041,-0.18497,-1.86657,9.5733,0.0624,-0.078,1.0023,0.08968,-0.09224,1.02078,-1.14663,-0.68108,10.00111,0.0819,-0.0429,1.0179,0.11488,-0.0661,1.01182,0.06283,0.22128,10.00468
